Time_ns,Input,GainLow_L,GainHigh_L,Final_L
1655,   778,   -90,   176,    -1
1665,  4854,  4668,  -399,   -13
1675,  8810,  9908,   -63,    32
1685,  9170,  8480,   267,    43
1695,  5926,  2432,   275,  -405
1705,  2535,   134,    22,  -520
1715,  2462,  5282,  -233,  2020
1725,  5706, 14024,  -236,  7736
1735,  8810, 18696,    11,  9672
1745,  8318, 15456,   257,  5461
1755,  4242,  8112,   253,   660
1765,    62,  4292,    -3,  2039
1775,  -740,  7818,  -258,  9659
1785,  1854, 14876,  -263, 17025
1795,  4402, 17842,   -16, 17741
1805,  3464, 12918,   232, 11790
1815,  -938,  3952,   228,  5548
1825, -5318, -1386,   -25,  5402
1835, -6188,   760,  -278, 11353
1845, -3526,  6612,  -280, 17024
1855,  -778,  8576,   -30, 16045
1865, -1389,  2880,   221,  8438
1875, -5345, -6614,   222,   626
1885, -9170,-12220,   -27,  -971
1895, -9390,-10074,  -276,  3686
1905, -6000, -3954,  -274,  8254
1915, -2462, -1462,   -19,  6387
1925, -2242, -6386,   235, -1870
1935, -5345,-14876,   239,-10080
1945, -8318,-19278,    -7,-11812
1955, -7706,-15752,  -254, -7019
1965, -3526, -8114,  -249, -2054
1975,   740, -4002,     6, -3272
1985,  1610, -7240,   262,-10638
1995,  -938,-14024,   266,-17744
2005, -3464,-16740,    18,-18183
2015, -2525,-11592,  -229,-11941
2025,  1853, -2436,  -227, -5407
2035,  6187,  3056,    26, -4969
2045,  6990,  1024,   279,-10639
2055,  4242, -4758,   280,-16049
2065,  1390, -6700,    28,-14831
2075,  1881, -1026,  -223, -7019
2085,  5706,  8396,  -225,   966
2095,  9390, 13890,    24,  2697
2105,  9464, 11590,   273, -1869
2115,  5926,  5280,   269, -6390
2125,  2242,  2566,    15, -4523
2135,  1881,  7238,  -240,  3685
2145,  4853, 15456,  -245, 11806
2155,  7706, 19570,     2, 13403
2165,  6990, 15750,   248,  8438
2175,  2724,  7818,   244,  3269
2185, -1609,  3418,   -12,  4247
2195, -2525,  6384,  -267, 11353
2205,     0, 12918,  -271, 18179
2215,  2525, 15410,   -23, 18326
2225,  1610, 10072,   226, 11790
2235, -2723,   762,   224,  4964
2245, -6990, -4844,   -29,  4246
2255, -7706, -2880,  -281,  9656
2265, -4854,  2878,  -281, 14828
2275, -1882,  4842,   -29, 13404
2285, -2242,  -762,   224,  5420
2295, -5925,-10072,   226, -2699
2305, -9463,-15412,   -23, -4521
2315, -9390,-12922,  -270,    -2
2325, -5706, -6388,  -267,  4517
2335, -1882, -3422,   -12,  2697
2345, -1389, -7820,   244, -5421
2355, -4242,-15750,   248,-13407
2365, -6990,-19570,     2,-14832
2375, -6188,-15458,  -245, -9662
2385, -1854, -7240,  -240, -4252
2395,  2525, -2568,    15, -4969
2405,  3464, -5282,   270,-11793
2415,   938,-11592,   273,-18328
2425, -1609,-13892,    24,-18182
2435,  -740, -8400,  -225,-11357
2445,  3526,  1024,  -223, -4251
2455,  7706,  6698,    28, -3272
2465,  8318,  4756,   280, -8443
2475,  5346, -1026,   279,-13407
2485,  2242, -3058,    27,-11810
2495,  2461,  2434,  -227, -3690
2505,  5999, 11590,  -229,  4518
2515,  9390, 16738,    18,  6386
2525,  9170, 14024,   266,  1865
2535,  5346,  7238,   262, -2700
2545,  1390,  3998,     6,  -970
2555,   778,  8110,  -249,  7015
2565,  3526, 15750,  -254, 14827
2575,  6187, 19276,    -7, 16046
2585,  5318, 14876,   239, 10636
2595,   939,  6386,   235,  4964
2605, -3463,  1462,   -19,  5401
2615, -4402,  3952,  -274, 11936
2625, -1854, 10070,  -276, 18179
2635,   740, 12216,   -27, 17741
2645,   -62,  6612,   222, 10636
2655, -4242, -2880,   221,  3270
2665, -8317, -8576,   -29,  2051
2675, -8810, -6614,  -280,  7014
2685, -5706,  -762,  -278, 11805
2695, -2462,  1384,   -25, 10074
2705, -2535, -3954,   228,  1866
2715, -5925,-12920,   232, -6389
2725, -9170,-17844,   -16, -8258
2735, -8810,-14878,  -263, -3690
2745, -4854, -7820,  -258,   966
2755,  -778, -4294,    -3,  -630
2765,   -62, -8112,   253, -8442
2775, -2723,-15458,   257,-16049
2785, -5318,-18698,    11,-17028
2795, -4403,-14026,  -236,-11357
2805,     0, -5284,  -233, -5406
2815,  4402,  -136,    22, -5551
2825,  5318, -2434,   275,-11793
2835,  2724, -8400,   278,-17745
2845,    62,-10434,    28,-17030
2855,   778, -4760,  -223, -9662
2865,  4853,  4756,  -222, -2056
2875,  8809, 10430,    28,  -630
2885,  9170,  8398,   277, -5420
2895,  5926,  2434,   275,-10080
2905,  2536,   134,    22, -8260
2915,  2461,  5280,  -233,    -3
2925,  5705, 14022,  -236,  8253
2935,  8809, 18694,    11, 10075
2945,  8318, 15456,   257,  5419
2955,  4243,  8112,   253,   627
2965,    62,  4292,    -3,  2051
2975,  -740,  7816,  -258,  9656
2985,  1853, 14874,  -263, 17023
