time_ns,din_sample,dout_low_L,dout_low_R,dout_high_L,dout_high_R
935,6253,0,0,0,0
955,2486,58,58,58,58
975,-1318,-419,-419,465,465
995,4817,246,246,597,597
1015,10877,3374,3374,-2940,-2940
1035,6845,3952,3952,2196,2196
1055,2705,636,636,2597,2597
1075,8443,1742,1742,-2357,-2357
1095,14048,7845,7845,-2367,-2367
1115,9510,8857,8857,2627,2627
1135,4822,4764,4764,2613,2613
1155,9980,5563,5563,-2409,-2409
1175,14980,11240,11240,-2426,-2426
1195,9822,11773,11773,2562,2562
1215,4510,7153,7153,2543,2543
1235,9048,7388,7388,-2484,-2484
1255,13443,12473,12473,-2504,-2504
1275,7705,12394,12394,2483,2483
1295,1845,7153,7153,2462,2462
1315,5877,6767,6767,-2563,-2563
1335,9817,11240,11240,-2581,-2581
1355,3681,10569,10569,2408,2408
1375,-2513,4764,4764,2392,2392
1395,1253,3851,3851,-2628,-2628
1415,4999,7844,7844,-2640,-2640
1435,-1253,6747,6747,2356,2356
1455,-7486,578,578,2349,2349
1475,-3681,-635,-635,-2662,-2662
1495,182,3128,3128,-2664,-2664
1515,-5877,1876,1876,2341,2341
1535,-11845,-4371,-4371,2344,2344
1555,-7705,-5584,-5584,-2657,-2657
1575,-3443,-1743,-1743,-2649,-2649
1595,-9048,-2840,-2840,2365,2365
1615,-14510,-8859,-8859,2378,2378
1635,-9822,-9771,-9771,-2614,-2614
1655,-4980,-5564,-5564,-2599,-2599
1675,-9980,-6235,-6235,2425,2425
1695,-14822,-11774,-11774,2443,2443
1715,-9510,-12160,-12160,-2544,-2544
1735,-4048,-7389,-7389,-2523,-2523
1755,-8443,-7468,-7468,2503,2503
1775,-12705,-12395,-12395,2522,2522
1795,-6845,-12160,-12160,-2463,-2463
1815,-877,-6768,-6768,-2444,-2444
1835,-4817,-6235,-6235,2580,2580
1855,-8681,-10570,-10570,2598,2598
1875,-2486,-9772,-9772,-2393,-2393
1895,3746,-3852,-3852,-2379,-2379
1915,0,-2839,-2839,2639,2639
1935,-3746,-6748,-6748,2649,2649
1955,2486,-5584,-5584,-2350,-2350
1975,8681,634,634,-2344,-2344
1995,4817,1876,1876,2663,2663
2015,877,-1877,-1877,2663,2663
2035,6845,-635,-635,-2344,-2344
2055,12705,5583,5583,-2350,-2350
2075,8443,6747,6747,2649,2649
2095,4048,2838,2838,2639,2639
2115,9510,3851,3851,-2379,-2379
2135,14822,9771,9771,-2393,-2393
2155,9980,10569,10569,2598,2598
2175,4980,6234,6234,2580,2580
2195,9822,6767,6767,-2444,-2444
2215,14510,12159,12159,-2463,-2463
2235,9048,12394,12394,2522,2522
2255,3443,7467,7467,2503,2503
2275,7705,7388,7388,-2523,-2523
2295,11845,12159,12159,-2544,-2544
2315,5877,11773,11773,2443,2443
2335,-182,6234,6234,2425,2425
2355,3681,5563,5563,-2599,-2599
2375,7486,9770,9770,-2614,-2614
2395,1253,8858,8858,2378,2378
2415,-5000,2839,2839,2365,2365
2435,-1253,1742,1742,-2649,-2649
2455,2513,5583,5583,-2657,-2657
2475,-3681,4370,4370,2344,2344
2495,-9817,-1878,-1878,2341,2341
2515,-5877,-3129,-3129,-2665,-2665
2535,-1845,634,634,-2662,-2662
2555,-7705,-578,-578,2349,2349
2575,-13443,-6748,-6748,2356,2356
2595,-9048,-7845,-7845,-2640,-2640
2615,-4510,-3852,-3852,-2628,-2628
2635,-9822,-4765,-4765,2392,2392
2655,-14980,-10570,-10570,2408,2408
2675,-9980,-11241,-11241,-2581,-2581
2695,-4822,-6768,-6768,-2563,-2563
2715,-9510,-7154,-7154,2462,2462
2735,-14048,-12395,-12395,2483,2483
2755,-8443,-12474,-12474,-2504,-2504
2775,-2705,-7389,-7389,-2484,-2484
2795,-6845,-7154,-7154,2543,2543
2815,-10877,-11774,-11774,2562,2562
2835,-4817,-11241,-11241,-2426,-2426
2855,1318,-5564,-5564,-2409,-2409
2875,-2486,-4765,-4765,2613,2613
2895,-6253,-8858,-8858,2627,2627
2915,0,-7846,-7846,-2367,-2367
2935,6253,-1743,-1743,-2357,-2357
2955,2486,-578,-578,2655,2655
2975,-1318,-4371,-4371,2661,2661
2995,4817,-3129,-3129,-2342,-2342
3015,10877,3128,3128,-2342,-2342
3035,6845,4370,4370,2661,2661
3055,2705,577,577,2655,2655
3075,8443,1742,1742,-2357,-2357
3095,14048,7845,7845,-2367,-2367
3115,9510,8857,8857,2627,2627
3135,4822,4764,4764,2613,2613
3155,9980,5563,5563,-2409,-2409
3175,14980,11240,11240,-2426,-2426
3195,9822,11773,11773,2562,2562
3215,4510,7153,7153,2543,2543
3235,9048,7388,7388,-2484,-2484
3255,13443,12473,12473,-2504,-2504
3275,7705,12394,12394,2483,2483
3295,1845,7153,7153,2462,2462
3315,5877,6767,6767,-2563,-2563
3335,9817,11240,11240,-2581,-2581
3355,3681,10569,10569,2408,2408
3375,-2513,4764,4764,2392,2392
3395,1253,3851,3851,-2628,-2628
3415,4999,7844,7844,-2640,-2640
3435,-1253,6747,6747,2356,2356
3455,-7486,578,578,2349,2349
3475,-3681,-635,-635,-2662,-2662
3495,182,3128,3128,-2664,-2664
3515,-5877,1876,1876,2341,2341
3535,-11845,-4371,-4371,2344,2344
3555,-7705,-5584,-5584,-2657,-2657
3575,-3443,-1743,-1743,-2649,-2649
3595,-9048,-2840,-2840,2365,2365
3615,-14510,-8859,-8859,2378,2378
3635,-9822,-9771,-9771,-2614,-2614
3655,-4980,-5564,-5564,-2599,-2599
3675,-9980,-6235,-6235,2425,2425
3695,-14822,-11774,-11774,2443,2443
3715,-9510,-12160,-12160,-2544,-2544
3735,-4048,-7389,-7389,-2523,-2523
3755,-8443,-7468,-7468,2503,2503
3775,-12705,-12395,-12395,2522,2522
3795,-6845,-12160,-12160,-2463,-2463
3815,-877,-6768,-6768,-2444,-2444
3835,-4817,-6235,-6235,2580,2580
3855,-8681,-10570,-10570,2598,2598
3875,-2486,-9772,-9772,-2393,-2393
3895,3746,-3852,-3852,-2379,-2379
3915,0,-2839,-2839,2639,2639
3935,-3746,-6748,-6748,2649,2649
3955,2486,-5584,-5584,-2350,-2350
3975,8681,634,634,-2344,-2344
3995,4817,1876,1876,2663,2663
4015,877,-1877,-1877,2663,2663
4035,6845,-635,-635,-2344,-2344
4055,12705,5583,5583,-2350,-2350
4075,8443,6747,6747,2649,2649
4095,4048,2838,2838,2639,2639
4115,9510,3851,3851,-2379,-2379
4135,14822,9771,9771,-2393,-2393
4155,9980,10569,10569,2598,2598
4175,4980,6234,6234,2580,2580
4195,9822,6767,6767,-2444,-2444
4215,14510,12159,12159,-2463,-2463
4235,9048,12394,12394,2522,2522
4255,3443,7467,7467,2503,2503
4275,7705,7388,7388,-2523,-2523
4295,11845,12159,12159,-2544,-2544
4315,5877,11773,11773,2443,2443
4335,-182,6234,6234,2425,2425
4355,3681,5563,5563,-2599,-2599
4375,7486,9770,9770,-2614,-2614
4395,1253,8858,8858,2378,2378
4415,-5000,2839,2839,2365,2365
4435,-1253,1742,1742,-2649,-2649
4455,2513,5583,5583,-2657,-2657
4475,-3681,4370,4370,2344,2344
4495,-9817,-1878,-1878,2341,2341
4515,-5877,-3129,-3129,-2665,-2665
4535,-1845,634,634,-2662,-2662
4555,-7705,-578,-578,2349,2349
4575,-13443,-6748,-6748,2356,2356
4595,-9048,-7845,-7845,-2640,-2640
4615,-4510,-3852,-3852,-2628,-2628
4635,-9822,-4765,-4765,2392,2392
4655,-14980,-10570,-10570,2408,2408
4675,-9980,-11241,-11241,-2581,-2581
4695,-4822,-6768,-6768,-2563,-2563
4715,-9510,-7154,-7154,2462,2462
4735,-14048,-12395,-12395,2483,2483
4755,-8443,-12474,-12474,-2504,-2504
4775,-2705,-7389,-7389,-2484,-2484
