time_ns,din,dout_low,dout_high
126,6253,58,58
136,2486,-419,465
146,-1318,246,597
156,4817,3374,-2940
166,10877,3952,2196
176,6845,636,2597
186,2705,1742,-2357
196,8443,7845,-2367
206,14048,8857,2627
216,9510,4764,2613
226,4822,5563,-2409
236,9980,11240,-2426
246,14980,11773,2562
256,9822,7153,2543
266,4510,7388,-2484
276,9048,12473,-2504
286,13443,12394,2483
296,7705,7153,2462
306,1845,6767,-2563
316,5877,11240,-2581
326,9817,10569,2408
336,3681,4764,2392
346,-2513,3851,-2628
356,1253,7844,-2640
366,4999,6747,2356
376,-1253,578,2349
386,-7486,-635,-2662
396,-3681,3128,-2664
406,182,1876,2341
416,-5877,-4371,2344
426,-11845,-5584,-2657
436,-7705,-1743,-2649
446,-3443,-2840,2365
456,-9048,-8859,2378
466,-14510,-9771,-2614
476,-9822,-5564,-2599
486,-4980,-6235,2425
496,-9980,-11774,2443
506,-14822,-12160,-2544
516,-9510,-7389,-2523
526,-4048,-7468,2503
536,-8443,-12395,2522
546,-12705,-12160,-2463
556,-6845,-6768,-2444
566,-877,-6235,2580
576,-4817,-10570,2598
586,-8681,-9772,-2393
596,-2486,-3852,-2379
606,3746,-2839,2639
616,0,-6748,2649
626,-3746,-5584,-2350
636,2486,634,-2344
646,8681,1876,2663
656,4817,-1877,2663
666,877,-635,-2344
676,6845,5583,-2350
686,12705,6747,2649
696,8443,2838,2639
706,4048,3851,-2379
716,9510,9771,-2393
726,14822,10569,2598
736,9980,6234,2580
746,4980,6767,-2444
756,9822,12159,-2463
766,14510,12394,2522
776,9048,7467,2503
786,3443,7388,-2523
796,7705,12159,-2544
806,11845,11773,2443
816,5877,6234,2425
826,-182,5563,-2599
836,3681,9770,-2614
846,7486,8858,2378
856,1253,2839,2365
866,-5000,1742,-2649
876,-1253,5583,-2657
886,2513,4370,2344
896,-3681,-1878,2341
906,-9817,-3129,-2665
916,-5877,634,-2662
926,-1845,-578,2349
936,-7705,-6748,2356
946,-13443,-7845,-2640
956,-9048,-3852,-2628
966,-4510,-4765,2392
976,-9822,-10570,2408
986,-14980,-11241,-2581
996,-9980,-6768,-2563
1006,-4822,-7154,2462
1016,-9510,-12395,2483
1026,-14048,-12474,-2504
1036,-8443,-7389,-2484
1046,-2705,-7154,2543
1056,-6845,-11774,2562
1066,-10877,-11241,-2426
1076,-4817,-5564,-2409
1086,1318,-4765,2613
1096,-2486,-8858,2627
1106,-6253,-7846,-2367
1116,0,-1743,-2357
1126,6253,-578,2655
1136,2486,-4371,2661
1146,-1318,-3129,-2342
1156,4817,3128,-2342
1166,10877,4370,2661
1176,6845,577,2655
1186,2705,1742,-2357
1196,8443,7845,-2367
1206,14048,8857,2627
1216,9510,4764,2613
1226,4822,5563,-2409
1236,9980,11240,-2426
1246,14980,11773,2562
1256,9822,7153,2543
1266,4510,7388,-2484
1276,9048,12473,-2504
1286,13443,12394,2483
1296,7705,7153,2462
1306,1845,6767,-2563
1316,5877,11240,-2581
1326,9817,10569,2408
1336,3681,4764,2392
1346,-2513,3851,-2628
1356,1253,7844,-2640
1366,4999,6747,2356
1376,-1253,578,2349
1386,-7486,-635,-2662
1396,-3681,3128,-2664
1406,182,1876,2341
1416,-5877,-4371,2344
1426,-11845,-5584,-2657
1436,-7705,-1743,-2649
1446,-3443,-2840,2365
1456,-9048,-8859,2378
1466,-14510,-9771,-2614
1476,-9822,-5564,-2599
1486,-4980,-6235,2425
1496,-9980,-11774,2443
1506,-14822,-12160,-2544
1516,-9510,-7389,-2523
1526,-4048,-7468,2503
1536,-8443,-12395,2522
1546,-12705,-12160,-2463
1556,-6845,-6768,-2444
1566,-877,-6235,2580
1576,-4817,-10570,2598
1586,-8681,-9772,-2393
1596,-2486,-3852,-2379
1606,3746,-2839,2639
1616,0,-6748,2649
1626,-3746,-5584,-2350
1636,2486,634,-2344
1646,8681,1876,2663
1656,4817,-1877,2663
1666,877,-635,-2344
1676,6845,5583,-2350
1686,12705,6747,2649
1696,8443,2838,2639
1706,4048,3851,-2379
1716,9510,9771,-2393
1726,14822,10569,2598
1736,9980,6234,2580
1746,4980,6767,-2444
1756,9822,12159,-2463
1766,14510,12394,2522
1776,9048,7467,2503
1786,3443,7388,-2523
1796,7705,12159,-2544
1806,11845,11773,2443
1816,5877,6234,2425
1826,-182,5563,-2599
1836,3681,9770,-2614
1846,7486,8858,2378
1856,1253,2839,2365
1866,-5000,1742,-2649
1876,-1253,5583,-2657
1886,2513,4370,2344
1896,-3681,-1878,2341
1906,-9817,-3129,-2665
1916,-5877,634,-2662
1926,-1845,-578,2349
1936,-7705,-6748,2356
1946,-13443,-7845,-2640
1956,-9048,-3852,-2628
1966,-4510,-4765,2392
1976,-9822,-10570,2408
1986,-14980,-11241,-2581
1996,-9980,-6768,-2563
2006,-4822,-7154,2462
2016,-9510,-12395,2483
2026,-14048,-12474,-2504
2036,-8443,-7389,-2484
2046,-2705,-7154,2543
2056,-6845,-11774,2562
2066,-10877,-11241,-2426
2076,-4817,-5564,-2409
2086,1318,-4765,2613
2096,-2486,-8858,2627
2106,-6253,-7846,-2367
2116,0,-1743,-2357
2126,6253,-578,2655
2136,2486,-4371,2661
2146,-1318,-3129,-2342
2156,4817,3128,-2342
2166,10877,4370,2661
2176,6845,577,2655
2186,2705,1742,-2357
2196,8443,7845,-2367
2206,14048,8857,2627
2216,9510,4764,2613
2226,4822,5563,-2409
2236,9980,11240,-2426
2246,14980,11773,2562
2256,9822,7153,2543
2266,4510,7388,-2484
2276,9048,12473,-2504
2286,13443,12394,2483
2296,7705,7153,2462
2306,1845,6767,-2563
2316,5877,11240,-2581
2326,9817,10569,2408
2336,3681,4764,2392
2346,-2513,3851,-2628
2356,1253,7844,-2640
2366,4999,6747,2356
2376,-1253,578,2349
2386,-7486,-635,-2662
2396,-3681,3128,-2664
2406,182,1876,2341
2416,-5877,-4371,2344
2426,-11845,-5584,-2657
2436,-7705,-1743,-2649
2446,-3443,-2840,2365
2456,-9048,-8859,2378
2466,-14510,-9771,-2614
2476,-9822,-5564,-2599
2486,-4980,-6235,2425
2496,-9980,-11774,2443
2506,-14822,-12160,-2544
2516,-9510,-7389,-2523
2526,-4048,-7468,2503
2536,-8443,-12395,2522
2546,-12705,-12160,-2463
2556,-6845,-6768,-2444
2566,-877,-6235,2580
2576,-4817,-10570,2598
2586,-8681,-9772,-2393
2596,-2486,-3852,-2379
2606,3746,-2839,2639
2616,0,-6748,2649
2626,-3746,-5584,-2350
2636,2486,634,-2344
2646,8681,1876,2663
2656,4817,-1877,2663
2666,877,-635,-2344
2676,6845,5583,-2350
2686,12705,6747,2649
2696,8443,2838,2639
2706,4048,3851,-2379
2716,9510,9771,-2393
2726,14822,10569,2598
2736,9980,6234,2580
2746,4980,6767,-2444
2756,9822,12159,-2463
2766,14510,12394,2522
2776,9048,7467,2503
2786,3443,7388,-2523
2796,7705,12159,-2544
2806,11845,11773,2443
2816,5877,6234,2425
2826,-182,5563,-2599
2836,3681,9770,-2614
2846,7486,8858,2378
2856,1253,2839,2365
2866,-5000,1742,-2649
2876,-1253,5583,-2657
2886,2513,4370,2344
2896,-3681,-1878,2341
2906,-9817,-3129,-2665
2916,-5877,634,-2662
2926,-1845,-578,2349
2936,-7705,-6748,2356
2946,-13443,-7845,-2640
2956,-9048,-3852,-2628
2966,-4510,-4765,2392
2976,-9822,-10570,2408
2986,-14980,-11241,-2581
2996,-9980,-6768,-2563
3006,-4822,-7154,2462
3016,-9510,-12395,2483
3026,-14048,-12474,-2504
3036,-8443,-7389,-2484
3046,-2705,-7154,2543
3056,-6845,-11774,2562
3066,-10877,-11241,-2426
3076,-4817,-5564,-2409
3086,1318,-4765,2613
3096,-2486,-8858,2627
3106,-6253,-7846,-2367
3116,0,-1743,-2357
3126,6253,-578,2655
3136,2486,-4371,2661
3146,-1318,-3129,-2342
3156,4817,3128,-2342
3166,10877,4370,2661
3176,6845,577,2655
3186,2705,1742,-2357
3196,8443,7845,-2367
3206,14048,8857,2627
3216,9510,4764,2613
3226,4822,5563,-2409
3236,9980,11240,-2426
3246,14980,11773,2562
3256,9822,7153,2543
3266,4510,7388,-2484
3276,9048,12473,-2504
3286,13443,12394,2483
3296,7705,7153,2462
3306,1845,6767,-2563
3316,5877,11240,-2581
