time_ns,in_low_val,in_high_val,out_merged_L,out_merged_R
955,2486,0,0,0
975,3681,-10000,-83,-83
995,4817,0,-773,-773
1015,5877,10000,-656,-656
1035,6845,0,6177,6177
1055,7705,-10000,-2498,-2498
1075,8443,0,-1821,-1821
1095,9048,10000,9250,9250
1115,9510,0,10347,10347
1135,9822,-10000,1347,1347
1155,9980,0,2261,2261
1175,9980,10000,13072,13072
1195,9822,0,13743,13743
1215,9510,-10000,4263,4263
1235,9048,0,4649,4649
1255,8443,10000,14897,14897
1275,7705,0,14976,14976
1295,6845,-10000,4884,4884
1315,5877,0,4649,4649
1335,4817,10000,14276,14276
1355,3681,0,13743,13743
1375,2486,-10000,3059,3059
1395,1253,0,2261,2261
1415,0,10000,11360,11360
1435,-1253,0,10347,10347
1455,-2486,-10000,-763,-763
1475,-3681,0,-1927,-1927
1495,-4817,10000,6873,6873
1515,-5877,0,5631,5631
1535,-6845,-10000,-5633,-5633
1555,-7705,0,-6875,-6875
1575,-8443,10000,1925,1925
1595,-9048,0,761,761
1615,-9510,-10000,-10349,-10349
1635,-9822,0,-11362,-11362
1655,-9980,10000,-2263,-2263
1675,-9980,0,-3061,-3061
1695,-9822,-10000,-13745,-13745
1715,-9510,0,-14278,-14278
1735,-9048,10000,-4651,-4651
1755,-8443,0,-4886,-4886
1775,-7705,-10000,-14978,-14978
1795,-6845,0,-14899,-14899
1815,-5877,10000,-4651,-4651
1835,-4817,0,-4265,-4265
1855,-3681,-10000,-13745,-13745
1875,-2486,0,-13074,-13074
1895,-1253,10000,-2263,-2263
1915,0,0,-1349,-1349
1935,1253,-10000,-10349,-10349
1955,2486,0,-9252,-9252
1975,3681,10000,1925,1925
1995,4817,0,3138,3138
2015,5877,-10000,-5633,-5633
2035,6845,0,-4382,-4382
2055,7705,10000,6873,6873
2075,8443,0,8086,8086
2095,9048,-10000,-763,-763
2115,9510,0,334,334
2135,9822,10000,11360,11360
2155,9980,0,12274,12274
2175,9980,-10000,3059,3059
2195,9822,0,3730,3730
2215,9510,10000,14276,14276
2235,9048,0,14662,14662
2255,8443,-10000,4884,4884
2275,7705,0,4963,4963
2295,6845,10000,14897,14897
2315,5877,0,14662,14662
2335,4817,-10000,4263,4263
2355,3681,0,3730,3730
2375,2486,10000,13072,13072
2395,1253,0,12274,12274
2415,0,-10000,1347,1347
2435,-1253,0,334,334
2455,-2486,10000,9250,9250
2475,-3681,0,8086,8086
2495,-4817,-10000,-3140,-3140
2515,-5877,0,-4382,-4382
2535,-6845,10000,4380,4380
2555,-7705,0,3138,3138
2575,-8443,-10000,-8088,-8088
2595,-9048,0,-9252,-9252
2615,-9510,10000,-336,-336
2635,-9822,0,-1349,-1349
2655,-9980,-10000,-12276,-12276
2675,-9980,0,-13074,-13074
2695,-9822,10000,-3732,-3732
2715,-9510,0,-4265,-4265
2735,-9048,-10000,-14664,-14664
2755,-8443,0,-14899,-14899
2775,-7705,10000,-4965,-4965
2795,-6845,0,-4886,-4886
2815,-5877,-10000,-14664,-14664
2835,-4817,0,-14278,-14278
