time_ns,din_orig,sub_low,sub_high,dout_recon
126,6253,58,58,0
136,2486,-419,465,0
146,-1318,246,597,-1
156,4817,3374,-2940,-18
166,10877,3952,2196,-8
176,6845,636,2597,-6
186,2705,1742,-2357,-17
196,8443,7845,-2367,-27
206,14048,8857,2627,-25
216,9510,4764,2613,6230
226,4822,5563,-2409,2455
236,9980,11240,-2426,-1356
246,14980,11773,2562,4782
256,9822,7153,2543,10839
266,4510,7388,-2484,6805
276,9048,12473,-2504,2648
286,13443,12394,2483,8395
296,7705,7153,2462,14008
306,1845,6767,-2563,9455
316,5877,11240,-2581,4753
326,9817,10569,2408,9922
336,3681,4764,2392,14936
346,-2513,3851,-2628,9765
356,1253,7844,-2640,4443
366,4999,6747,2356,8996
376,-1253,578,2349,13407
386,-7486,-635,-2662,7660
396,-3681,3128,-2664,1792
406,182,1876,2341,5842
416,-5877,-4371,2344,9800
426,-11845,-5584,-2657,3660
436,-7705,-1743,-2649,-2540
446,-3443,-2840,2365,1245
456,-9048,-8859,2378,5010
466,-14510,-9771,-2614,-1248
476,-9822,-5564,-2599,-7486
486,-4980,-6235,2425,-3661
496,-9980,-11774,2443,219
506,-14822,-12160,-2544,-5845
516,-9510,-7389,-2523,-11820
526,-4048,-7468,2503,-7664
536,-8443,-12395,2522,-3385
546,-12705,-12160,-2463,-8999
556,-6845,-6768,-2444,-14470
566,-877,-6235,2580,-9769
576,-4817,-10570,2598,-4913
586,-8681,-9772,-2393,-9926
596,-2486,-3852,-2379,-14780
606,3746,-2839,2639,-9458
616,0,-6748,2649,-3987
626,-3746,-5584,-2350,-8397
636,2486,634,-2344,-12676
646,8681,1876,2663,-6808
656,4817,-1877,2663,-833
666,877,-635,-2344,-4791
676,6845,5583,-2350,-8674
686,12705,6747,2649,-2474
696,8443,2838,2639,3763
706,4048,3851,-2379,-1
716,9510,9771,-2393,-3766
726,14822,10569,2598,2471
736,9980,6234,2580,8671
746,4980,6767,-2444,4788
756,9822,12159,-2463,830
766,14510,12394,2522,6805
776,9048,7467,2503,12673
786,3443,7388,-2523,8394
796,7705,12159,-2544,3984
806,11845,11773,2443,9455
816,5877,6234,2425,14777
826,-182,5563,-2599,9923
836,3681,9770,-2614,4910
846,7486,8858,2378,9766
856,1253,2839,2365,14467
866,-5000,1742,-2649,8996
876,-1253,5583,-2657,3382
886,2513,4370,2344,7661
896,-3681,-1878,2341,11817
906,-9817,-3129,-2665,5842
916,-5877,634,-2662,-222
926,-1845,-578,2349,3658
936,-7705,-6748,2356,7483
946,-13443,-7845,-2640,1244
956,-9048,-3852,-2628,-5014
966,-4510,-4765,2392,-1248
976,-9822,-10570,2408,2538
986,-14980,-11241,-2581,-3662
996,-9980,-6768,-2563,-9803
1006,-4822,-7154,2462,-5845
1016,-9510,-12395,2483,-1795
1026,-14048,-12474,-2504,-7663
1036,-8443,-7389,-2484,-13410
1046,-2705,-7154,2543,-8999
1056,-6845,-11774,2562,-4446
1066,-10877,-11241,-2426,-9768
1076,-4817,-5564,-2409,-14939
1086,1318,-4765,2613,-9925
1096,-2486,-8858,2627,-4756
1106,-6253,-7846,-2367,-9458
1116,0,-1743,-2357,-14011
1126,6253,-578,2655,-8398
1136,2486,-4371,2661,-2651
1146,-1318,-3129,-2342,-6807
1156,4817,3128,-2342,-10858
1166,10877,4370,2661,-4792
1176,6845,577,2655,1350
1186,2705,1742,-2357,-2474
1196,8443,7845,-2367,-6259
1206,14048,8857,2627,-1
1216,9510,4764,2613,6256
1226,4822,5563,-2409,2471
1236,9980,11240,-2426,-1353
1246,14980,11773,2562,4789
1256,9822,7153,2543,10855
1266,4510,7388,-2484,6804
1276,9048,12473,-2504,2648
1286,13443,12394,2483,8395
1296,7705,7153,2462,14008
1306,1845,6767,-2563,9455
1316,5877,11240,-2581,4753
1326,9817,10569,2408,9922
1336,3681,4764,2392,14936
1346,-2513,3851,-2628,9765
1356,1253,7844,-2640,4443
1366,4999,6747,2356,8996
1376,-1253,578,2349,13407
1386,-7486,-635,-2662,7660
1396,-3681,3128,-2664,1792
1406,182,1876,2341,5842
1416,-5877,-4371,2344,9800
1426,-11845,-5584,-2657,3660
1436,-7705,-1743,-2649,-2540
1446,-3443,-2840,2365,1245
1456,-9048,-8859,2378,5010
1466,-14510,-9771,-2614,-1248
1476,-9822,-5564,-2599,-7486
1486,-4980,-6235,2425,-3661
1496,-9980,-11774,2443,219
1506,-14822,-12160,-2544,-5845
1516,-9510,-7389,-2523,-11820
1526,-4048,-7468,2503,-7664
1536,-8443,-12395,2522,-3385
1546,-12705,-12160,-2463,-8999
1556,-6845,-6768,-2444,-14470
1566,-877,-6235,2580,-9769
1576,-4817,-10570,2598,-4913
1586,-8681,-9772,-2393,-9926
1596,-2486,-3852,-2379,-14780
1606,3746,-2839,2639,-9458
1616,0,-6748,2649,-3987
1626,-3746,-5584,-2350,-8397
1636,2486,634,-2344,-12676
1646,8681,1876,2663,-6808
1656,4817,-1877,2663,-833
1666,877,-635,-2344,-4791
1676,6845,5583,-2350,-8674
1686,12705,6747,2649,-2474
1696,8443,2838,2639,3763
1706,4048,3851,-2379,-1
1716,9510,9771,-2393,-3766
1726,14822,10569,2598,2471
1736,9980,6234,2580,8671
1746,4980,6767,-2444,4788
1756,9822,12159,-2463,830
1766,14510,12394,2522,6805
1776,9048,7467,2503,12673
1786,3443,7388,-2523,8394
1796,7705,12159,-2544,3984
1806,11845,11773,2443,9455
1816,5877,6234,2425,14777
1826,-182,5563,-2599,9923
1836,3681,9770,-2614,4910
1846,7486,8858,2378,9766
1856,1253,2839,2365,14467
1866,-5000,1742,-2649,8996
1876,-1253,5583,-2657,3382
1886,2513,4370,2344,7661
1896,-3681,-1878,2341,11817
1906,-9817,-3129,-2665,5842
1916,-5877,634,-2662,-222
1926,-1845,-578,2349,3658
1936,-7705,-6748,2356,7483
1946,-13443,-7845,-2640,1244
1956,-9048,-3852,-2628,-5014
1966,-4510,-4765,2392,-1248
1976,-9822,-10570,2408,2538
1986,-14980,-11241,-2581,-3662
1996,-9980,-6768,-2563,-9803
2006,-4822,-7154,2462,-5845
2016,-9510,-12395,2483,-1795
2026,-14048,-12474,-2504,-7663
2036,-8443,-7389,-2484,-13410
2046,-2705,-7154,2543,-8999
2056,-6845,-11774,2562,-4446
2066,-10877,-11241,-2426,-9768
2076,-4817,-5564,-2409,-14939
2086,1318,-4765,2613,-9925
2096,-2486,-8858,2627,-4756
2106,-6253,-7846,-2367,-9458
2116,0,-1743,-2357,-14011
2126,6253,-578,2655,-8398
2136,2486,-4371,2661,-2651
2146,-1318,-3129,-2342,-6807
2156,4817,3128,-2342,-10858
2166,10877,4370,2661,-4792
2176,6845,577,2655,1350
2186,2705,1742,-2357,-2474
2196,8443,7845,-2367,-6259
2206,14048,8857,2627,-1
2216,9510,4764,2613,6256
2226,4822,5563,-2409,2471
2236,9980,11240,-2426,-1353
2246,14980,11773,2562,4789
2256,9822,7153,2543,10855
2266,4510,7388,-2484,6804
2276,9048,12473,-2504,2648
2286,13443,12394,2483,8395
2296,7705,7153,2462,14008
2306,1845,6767,-2563,9455
2316,5877,11240,-2581,4753
2326,9817,10569,2408,9922
2336,3681,4764,2392,14936
2346,-2513,3851,-2628,9765
2356,1253,7844,-2640,4443
2366,4999,6747,2356,8996
2376,-1253,578,2349,13407
2386,-7486,-635,-2662,7660
2396,-3681,3128,-2664,1792
2406,182,1876,2341,5842
2416,-5877,-4371,2344,9800
2426,-11845,-5584,-2657,3660
2436,-7705,-1743,-2649,-2540
2446,-3443,-2840,2365,1245
2456,-9048,-8859,2378,5010
2466,-14510,-9771,-2614,-1248
2476,-9822,-5564,-2599,-7486
2486,-4980,-6235,2425,-3661
2496,-9980,-11774,2443,219
2506,-14822,-12160,-2544,-5845
2516,-9510,-7389,-2523,-11820
2526,-4048,-7468,2503,-7664
2536,-8443,-12395,2522,-3385
2546,-12705,-12160,-2463,-8999
2556,-6845,-6768,-2444,-14470
2566,-877,-6235,2580,-9769
2576,-4817,-10570,2598,-4913
2586,-8681,-9772,-2393,-9926
2596,-2486,-3852,-2379,-14780
2606,3746,-2839,2639,-9458
2616,0,-6748,2649,-3987
2626,-3746,-5584,-2350,-8397
2636,2486,634,-2344,-12676
2646,8681,1876,2663,-6808
2656,4817,-1877,2663,-833
2666,877,-635,-2344,-4791
2676,6845,5583,-2350,-8674
2686,12705,6747,2649,-2474
2696,8443,2838,2639,3763
2706,4048,3851,-2379,-1
2716,9510,9771,-2393,-3766
2726,14822,10569,2598,2471
2736,9980,6234,2580,8671
2746,4980,6767,-2444,4788
2756,9822,12159,-2463,830
2766,14510,12394,2522,6805
2776,9048,7467,2503,12673
2786,3443,7388,-2523,8394
2796,7705,12159,-2544,3984
2806,11845,11773,2443,9455
2816,5877,6234,2425,14777
2826,-182,5563,-2599,9923
2836,3681,9770,-2614,4910
2846,7486,8858,2378,9766
2856,1253,2839,2365,14467
2866,-5000,1742,-2649,8996
2876,-1253,5583,-2657,3382
2886,2513,4370,2344,7661
2896,-3681,-1878,2341,11817
2906,-9817,-3129,-2665,5842
2916,-5877,634,-2662,-222
2926,-1845,-578,2349,3658
2936,-7705,-6748,2356,7483
2946,-13443,-7845,-2640,1244
2956,-9048,-3852,-2628,-5014
2966,-4510,-4765,2392,-1248
2976,-9822,-10570,2408,2538
2986,-14980,-11241,-2581,-3662
2996,-9980,-6768,-2563,-9803
3006,-4822,-7154,2462,-5845
3016,-9510,-12395,2483,-1795
3026,-14048,-12474,-2504,-7663
3036,-8443,-7389,-2484,-13410
3046,-2705,-7154,2543,-8999
3056,-6845,-11774,2562,-4446
3066,-10877,-11241,-2426,-9768
3076,-4817,-5564,-2409,-14939
3086,1318,-4765,2613,-9925
3096,-2486,-8858,2627,-4756
3106,-6253,-7846,-2367,-9458
3116,0,-1743,-2357,-14011
3126,6253,-578,2655,-8398
3136,2486,-4371,2661,-2651
3146,-1318,-3129,-2342,-6807
3156,4817,3128,-2342,-10858
3166,10877,4370,2661,-4792
3176,6845,577,2655,1350
3186,2705,1742,-2357,-2474
3196,8443,7845,-2367,-6259
3206,14048,8857,2627,-1
3216,9510,4764,2613,6256
3226,4822,5563,-2409,2471
3236,9980,11240,-2426,-1353
3246,14980,11773,2562,4789
3256,9822,7153,2543,10855
3266,4510,7388,-2484,6804
3276,9048,12473,-2504,2648
3286,13443,12394,2483,8395
3296,7705,7153,2462,14008
3306,1845,6767,-2563,9455
3316,5877,11240,-2581,4753
3326,9817,10569,2408,9922
3336,3681,4764,2392,14936
3346,-2513,3851,-2628,9765
3356,1253,7844,-2640,4443
3366,4999,6747,2356,8996
3376,-1253,578,2349,13407
3386,-7486,-635,-2662,7660
3396,-3681,3128,-2664,1792
3406,182,1876,2341,5842
3416,-5877,-4371,2344,9800
3426,-11845,-5584,-2657,3660
3436,-7705,-1743,-2649,-2540
3446,-3443,-2840,2365,1245
3456,-9048,-8859,2378,5010
3466,-14510,-9771,-2614,-1248
3476,-9822,-5564,-2599,-7486
3486,-4980,-6235,2425,-3661
3496,-9980,-11774,2443,219
3506,-14822,-12160,-2544,-5845
3516,-9510,-7389,-2523,-11820
3526,-4048,-7468,2503,-7664
3536,-8443,-12395,2522,-3385
3546,-12705,-12160,-2463,-8999
3556,-6845,-6768,-2444,-14470
3566,-877,-6235,2580,-9769
3576,-4817,-10570,2598,-4913
3586,-8681,-9772,-2393,-9926
3596,-2486,-3852,-2379,-14780
3606,3746,-2839,2639,-9458
3616,0,-6748,2649,-3987
3626,-3746,-5584,-2350,-8397
3636,2486,634,-2344,-12676
3646,8681,1876,2663,-6808
3656,4817,-1877,2663,-833
3666,877,-635,-2344,-4791
3676,6845,5583,-2350,-8674
3686,12705,6747,2649,-2474
3696,8443,2838,2639,3763
3706,4048,3851,-2379,-1
3716,9510,9771,-2393,-3766
