time_ns,input_val,low_band,high_band,output_recon
1445,   593,  -299,   380,     0
1455,    49,    32,   645,    -1
1465,  4702,  2614, -2012,   -13
1475,  9280,  4563,   317,   -13
1485,  8515,  2509,  1925,    -8
1495,  4403,    27,   687,    -7
1505,  3434,  2191, -1386,   -14
1515,  7608,  7165, -1395,   -25
1525, 11662,  9182,   659,  4777
1535, 10335,  6452,  1923,  4316
1545,  5633,  3621,   633,   574
1555,  4054,  5334, -1447,    25
1565,  7608,  9807, -1463,  4661
1575, 11042, 11281,   587,  9237
1585,  9105,  7976,  1847,  8473
1595,  3813,  4545,   554,  4371
1605,  1672,  5644, -1527,  3403
1615,  4702,  9497, -1542,  7564
1625,  7658, 10357,   508, 11606
1635,  5296,  6452,  1771, 10282
1645,  -361,  2446,   482,  5593
1655, -2801,  3002, -1595,  4019
1665,     0,  6355, -1604,  7565
1675,  2801,  6764,   453, 10989
1685,   361,  2465,  1724,  9060
1695, -5296, -1873,   443,  3784
1705, -7658, -1581, -1624,  1650
1715, -4702,  1580, -1624,  4675
1725, -1672,  1872,   443,  7625
1735, -3812, -2466,  1724,  5272
1745, -9105, -6765,   454,  -367
1755,-11042, -6356, -1604, -2797
1765, -7608, -3003, -1594,    -2
1775, -4054, -2446,   482,  2794
1785, -5632, -6453,  1771,   364
1795,-10335,-10358,   508, -5275
1805,-11662, -9498, -1542, -7628
1815, -7608, -5644, -1527, -4676
1825, -3434, -4545,   554, -1653
1835, -4403, -7976,  1847, -3786
1845, -8515,-11282,   586, -9063
1855, -9280, -9808, -1463,-10992
1865, -4702, -5335, -1447, -7567
1875,   -49, -3622,   633, -4021
1885,  -593, -6453,  1923, -5595
1895, -4340, -9183,   659,-10285
1905, -4806, -7166, -1395,-11609
1915,     0, -2192, -1386, -7567
1925,  4806,   -28,   687, -3406
1935,  4340, -2465,  1970, -4374
1945,   593, -4863,   697, -8476
1955,    49, -2583, -1366, -9240
1965,  4702,  2582, -1366, -4677
1975,  9280,  4862,   697,   -40
1985,  8515,  2464,  1970,  -584
1995,  4403,    27,   687, -4325
2005,  3434,  2191, -1386, -4792
2015,  7608,  7165, -1395,    -1
2025, 11662,  9182,   659,  4789
2035, 10335,  6452,  1923,  4322
2045,  5633,  3621,   633,   581
2055,  4053,  5334, -1447,    37
2065,  7608,  9807, -1463,  4674
2075, 11042, 11281,   586,  9237
2085,  9106,  7976,  1847,  8473
2095,  3813,  4544,   555,  4371
2105,  1672,  5643, -1527,  3403
2115,  4702,  9497, -1542,  7564
2125,  7658, 10357,   508, 11606
2135,  5296,  6453,  1771, 10282
2145,  -361,  2446,   482,  5593
2155, -2801,  3002, -1595,  4018
2165,     0,  6355, -1604,  7564
2175,  2801,  6764,   453, 10990
2185,   361,  2465,  1724,  9060
2195, -5295, -1873,   443,  3784
2205, -7658, -1581, -1624,  1650
2215, -4702,  1580, -1624,  4674
2225, -1672,  1873,   444,  7625
2235, -3812, -2465,  1723,  5272
2245, -9105, -6764,   454,  -367
2255,-11042, -6356, -1604, -2798
2265, -7608, -3003, -1595,    -2
2275, -4054, -2446,   482,  2795
2285, -5632, -6453,  1771,   364
2295,-10335,-10358,   508, -5273
2305,-11662, -9498, -1542, -7627
2315, -7608, -5644, -1527, -4677
2325, -3434, -4545,   554, -1653
2335, -4403, -7976,  1847, -3786
2345, -8514,-11282,   586, -9063
2355, -9280, -9808, -1463,-10992
2365, -4702, -5335, -1447, -7567
2375,   -50, -3622,   633, -4021
2385,  -593, -6453,  1922, -5595
2395, -4340, -9182,   659,-10285
2405, -4807, -7166, -1395,-11609
2415,     0, -2193, -1386, -7567
2425,  4806,   -28,   687, -3406
2435,  4340, -2465,  1970, -4374
2445,   594, -4863,   698, -8474
2455,    49, -2583, -1366, -9240
2465,  4701,  2582, -1366, -4677
2475,  9280,  4862,   697,   -40
2485,  8515,  2464,  1969,  -585
2495,  4403,    27,   688, -4324
2505,  3434,  2191, -1386, -4792
2515,  7607,  7165, -1396,    -1
2525, 11662,  9182,   659,  4789
2535, 10335,  6452,  1923,  4321
2545,  5633,  3621,   633,   583
2555,  4053,  5333, -1447,    37
2565,  7607,  9806, -1463,  4673
2575, 11042, 11281,   587,  9238
2585,  9106,  7976,  1847,  8473
2595,  3813,  4544,   555,  4371
2605,  1672,  5642, -1527,  3402
2615,  4701,  9496, -1543,  7563
2625,  7658, 10357,   508, 11606
2635,  5296,  6453,  1771, 10282
2645,  -361,  2446,   482,  5593
2655, -2801,  3002, -1594,  4018
2665,     0,  6354, -1605,  7562
2675,  2801,  6764,   454, 10989
2685,   362,  2465,  1724,  9060
2695, -5295, -1873,   443,  3784
2705, -7658, -1581, -1624,  1651
2715, -4702,  1580, -1624,  4673
2725, -1672,  1873,   443,  7625
2735, -3812, -2465,  1724,  5272
2745, -9105, -6764,   454,  -367
2755,-11042, -6356, -1604, -2797
2765, -7608, -3003, -1595,    -1
2775, -4054, -2446,   482,  2794
2785, -5632, -6453,  1771,   365
2795,-10334,-10358,   508, -5274
2805,-11662, -9498, -1542, -7627
2815, -7609, -5645, -1527, -4677
2825, -3434, -4545,   554, -1653
2835, -4403, -7976,  1847, -3786
2845, -8514,-11281,   587, -9062
2855, -9280, -9808, -1462,-10992
2865, -4702, -5335, -1448, -7568
2875,   -50, -3622,   633, -4022
2885,  -593, -6453,  1922, -5595
2895, -4340, -9182,   659,-10284
2905, -4807, -7166, -1395,-11609
2915,     0, -2193, -1386, -7568
2925,  4806,   -28,   687, -3405
2935,  4341, -2465,  1970, -4373
2945,   594, -4863,   698, -8474
2955,    49, -2583, -1366, -9240
2965,  4701,  2582, -1366, -4677
2975,  9280,  4862,   697,   -40
2985,  8515,  2465,  1970,  -585
2995,  4403,    27,   688, -4324
3005,  3434,  2191, -1386, -4792
3015,  7607,  7165, -1396,    -1
3025, 11662,  9182,   659,  4789
3035, 10335,  6452,  1923,  4322
3045,  5633,  3621,   633,   583
3055,  4053,  5333, -1447,    37
3065,  7607,  9806, -1463,  4674
3075, 11042, 11281,   587,  9238
3085,  9106,  7976,  1847,  8473
3095,  3813,  4544,   555,  4371
3105,  1672,  5642, -1527,  3402
3115,  4701,  9496, -1543,  7563
3125,  7658, 10357,   508, 11606
3135,  5296,  6453,  1771, 10282
3145,  -360,  2446,   482,  5593
3155, -2801,  3002, -1594,  4018
3165,     0,  6354, -1605,  7562
3175,  2801,  6764,   454, 10989
3185,   362,  2465,  1723,  9060
3195, -5295, -1873,   444,  3784
3205, -7658, -1581, -1624,  1651
3215, -4702,  1580, -1624,  4673
3225, -1672,  1873,   443,  7625
3235, -3812, -2465,  1724,  5271
3245, -9105, -6764,   454,  -366
3255,-11043, -6356, -1604, -2798
3265, -7609, -3003, -1595,    -2
3275, -4054, -2446,   481,  2794
3285, -5632, -6453,  1771,   365
3295,-10334,-10358,   508, -5274
3305,-11662, -9499, -1542, -7627
3315, -7609, -5645, -1527, -4677
3325, -3434, -4545,   554, -1654
3335, -4402, -7976,  1847, -3785
3345, -8514,-11281,   587, -9063
3355, -9280, -9808, -1462,-10993
3365, -4703, -5335, -1448, -7568
3375,   -50, -3621,   632, -4022
3385,  -593, -6452,  1923, -5595
3395, -4340, -9182,   659,-10284
3405, -4807, -7167, -1395,-11609
3415,    -1, -2193, -1386, -7568
3425,  4806,   -28,   687, -3405
3435,  4341, -2465,  1970, -4371
3445,   594, -4863,   698, -8475
3455,    49, -2584, -1366, -9240
3465,  4701,  2581, -1366, -4678
3475,  9280,  4862,   697,   -40
3485,  8515,  2465,  1970,  -585
3495,  4404,    27,   688, -4324
3505,  3434,  2191, -1386, -4792
3515,  7607,  7165, -1396,    -2
3525, 11662,  9182,   659,  4788
3535, 10336,  6453,  1922,  4322
3545,  5633,  3621,   633,   583
3555,  4053,  5333, -1447,    37
3565,  7607,  9806, -1463,  4674
3575, 11042, 11281,   586,  9238
3585,  9106,  7976,  1847,  8472
3595,  3813,  4544,   555,  4371
3605,  1671,  5642, -1527,  3402
3615,  4701,  9496, -1543,  7563
3625,  7658, 10357,   508, 11606
3635,  5297,  6453,  1771, 10282
3645,  -360,  2445,   482,  5593
3655, -2801,  3001, -1594,  4018
3665,     0,  6354, -1604,  7562
3675,  2801,  6764,   453, 10989
3685,   362,  2466,  1724,  9060
3695, -5295, -1873,   444,  3784
3705, -7658, -1581, -1624,  1650
3715, -4703,  1580, -1624,  4673
3725, -1672,  1873,   443,  7624
3735, -3812, -2465,  1724,  5273
3745, -9104, -6764,   454,  -366
3755,-11043, -6356, -1604, -2798
3765, -7609, -3004, -1595,    -1
3775, -4054, -2446,   482,  2794
3785, -5632, -6452,  1770,   365
3795,-10334,-10358,   509, -5274
3805,-11662, -9499, -1543, -7627
3815, -7609, -5645, -1527, -4678
3825, -3434, -4545,   554, -1653
3835, -4402, -7976,  1847, -3786
3845, -8514,-11281,   587, -9061
3855, -9281, -9808, -1462,-10993
3865, -4703, -5335, -1448, -7567
3875,   -50, -3621,   632, -4022
3885,  -593, -6452,  1923, -5595
3895, -4340, -9183,   659,-10284
3905, -4807, -7167, -1395,-11609
3915,    -1, -2193, -1386, -7568
3925,  4806,   -28,   687, -3405
